ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788644383,0.37,0.37,0.36,0.37,462.21,18,0.36662209818048075
KXBTC15M-26SEP051745-45,1788644384,0.37,0.37,0.36,0.36,490.59999999999997,17,0.36568283734203016
KXBTC15M-26SEP051745-45,1788644385,0.37,0.37,0.36,0.37,1091.71,12,0.3667458390964633
KXBTC15M-26SEP051745-45,1788644386,0.36,0.37,0.36,0.36,925.0300000000001,13,0.36078365025999154
KXBTC15M-26SEP051745-45,1788644387,0.37,0.37,0.36,0.36,415.74,17,0.3668915668446625
KXBTC15M-26SEP051745-45,1788644388,0.37,0.37,0.36,0.37,157.18,10,0.3685112609746787
KXBTC15M-26SEP051745-45,1788644389,0.37,0.37,0.36,0.37,1130.93,29,0.3687950624707099
KXBTC15M-26SEP051745-45,1788644390,0.36,0.63,0.36,0.63,8639.26,171,0.4660014052129465
KXBTC15M-26SEP051745-45,1788644391,0.63,0.64,0.59,0.61,2620,89,0.6199175190839694
KXBTC15M-26SEP051745-45,1788644392,0.6,0.61,0.6,0.6,4166.95,56,0.600839942883884
KXBTC15M-26SEP051745-45,1788644393,0.6,0.61,0.58,0.59,6972.04,99,0.5966632434696302
KXBTC15M-26SEP051745-45,1788644394,0.59,0.6,0.57,0.6,8390.53,113,0.5859524845271991
KXBTC15M-26SEP051745-45,1788644395,0.6,0.6,0.56,0.59,7298.85,97,0.5866861491878856
KXBTC15M-26SEP051745-45,1788644396,0.59,0.64,0.57,0.62,12565.54,142,0.5973501815282112
KXBTC15M-26SEP051745-45,1788644397,0.62,0.62,0.61,0.62,4940.52,61,0.6162087796426287
KXBTC15M-26SEP051745-45,1788644398,0.62,0.63,0.61,0.61,2688.77,55,0.6126746058606723
KXBTC15M-26SEP051745-45,1788644399,0.61,0.63,0.61,0.62,5326.51,71,0.616693313257649
KXBTC15M-26SEP051745-45,1788644400,0.62,0.7,0.61,0.69,16931.81,175,0.6466639006698043
