ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26AUG262230-30,2026-08-27T02:19:00.000Z,2026-08-27T02:25:00.000Z,low,BULLISH,no,0.9699999999999998,2.43,SCALP_TAKE_PROFIT
KXBTC15M-26AUG271845-45,2026-08-27T22:32:00.000Z,2026-08-27T22:38:00.000Z,low,BULLISH,no,0.6499999999999999,1.22,SCALP_TAKE_PROFIT
KXBTC15M-26AUG280245-45,2026-08-28T06:32:00.000Z,2026-08-28T06:38:00.000Z,low,BULLISH,no,-0.8900000000000001,1.6800000000000002,STOP_LOSS
KXBTC15M-26AUG291945-45,2026-08-29T23:32:00.000Z,2026-08-29T23:40:00.000Z,low,BULLISH,yes,0.07999999999999985,1.02,SCALP_TAKE_PROFIT
KXBTC15M-26AUG292115-15,2026-08-30T01:02:00.000Z,2026-08-30T01:09:00.000Z,low,BEARISH,no,0.4999999999999998,1.2200000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26AUG300145-45,2026-08-30T05:31:00.000Z,2026-08-30T05:34:00.000Z,low,BULLISH,no,0.6200000000000006,2.4899999999999998,SCALP_TAKE_PROFIT
KXBTC15M-26AUG300200-00,2026-08-30T05:46:00.000Z,2026-08-30T05:54:00.000Z,low,NEUTRAL,no,-0.030000000000000027,1.5,SCALP_TAKE_PROFIT
KXBTC15M-26AUG300215-15,2026-08-30T06:02:00.000Z,2026-08-30T06:05:00.000Z,low,NEUTRAL,no,-1.4400000000000004,4.53,STOP_LOSS
KXBTC15M-26AUG301400-00,2026-08-30T17:47:00.000Z,2026-08-30T17:54:00.000Z,low,BEARISH,yes,-1.4600000000000002,1.7100000000000002,STOP_LOSS
KXBTC15M-26AUG302045-45,2026-08-31T00:32:00.000Z,2026-08-31T00:37:00.000Z,low,BULLISH,yes,0.56,1.18,SCALP_TAKE_PROFIT
KXBTC15M-26AUG302115-15,2026-08-31T01:02:00.000Z,2026-08-31T01:06:00.000Z,low,BULLISH,yes,-0.8,1.02,STOP_LOSS
KXBTC15M-26AUG302245-45,2026-08-31T02:31:00.000Z,2026-08-31T02:37:00.000Z,low,BULLISH,yes,-0.7600000000000001,1.08,STOP_LOSS
KXBTC15M-26AUG310600-00,2026-08-31T09:48:00.000Z,2026-08-31T09:52:00.000Z,low,BULLISH,yes,-0.9000000000000001,1.29,STOP_LOSS
